batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c3,GFA018,50.4802,26.4244,1988.82,157.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c9,GFA16I,50.8768,26.2698,1478.28,119.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940cf,DHX739,77.3635,13.333,2080.26,104.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894059,GFA545,52.6162,25.7471,7315.2,198.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405b,GFA510,54.856,25.5307,5524.5,115.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89405e,GFA509,51.9204,26.162,7132.32,196.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,894061,"",49.5385,26.4933,6156.96,230.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,89409d,GFA945,49.9109,26.6064,5212.08,222.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940a5,DHX129,51.6507,26.5964,8229.6,248.64
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8940c2,GFA022,49.3468,26.7713,6728.46,209.58
