batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c01e3,ASL13C,18.0044,46.2178,9745.98,205.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c2d40,YULKA,20.2904,44.8154,-1.0,5.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c31e0,"",8.7222,45.6198,-1.0,16.98
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c348c,FUU231A,1.5292,53.0738,12496.8,204.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4c4aab,PNC1VL,19.9888,44.0821,4739.64,191.3
