batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514004,"",86.53,40.45,-304.8,74.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514005,"",40.2867,41.5792,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c6,IGT2831,25.2223,43.1233,9753.6,221.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c7,TGZ628,22.9444,45.5083,11277.6,246.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d1,IGT1190,34.6126,37.271,10363.2,254.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d2,SNZ404,-16.7973,14.7336,2727.96,153.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d7,GEL1903,14.6102,49.7607,6705.6,201.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d8,GEL1602,13.3367,45.2128,10363.2,229.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140e4,GEL1703,2.0993,41.2928,-1.0,5.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514004,"",86.53,40.45,-304.8,74.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514005,"",40.2867,41.5792,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c6,IGT2831,25.2223,43.1233,9753.6,221.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c7,TGZ628,22.9444,45.5083,11277.6,246.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d1,IGT1190,34.6126,37.271,10363.2,254.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d2,SNZ404,-16.7973,14.7336,2727.96,153.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d7,GEL1903,14.6102,49.7607,6705.6,201.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d8,GEL1602,13.3367,45.2128,10363.2,229.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140e4,GEL1703,2.0993,41.2928,-1.0,5.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514004,"",86.53,40.45,-304.8,74.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514005,"",40.2867,41.5792,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c6,IGT2831,25.2223,43.1233,9753.6,221.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c7,TGZ628,22.9444,45.5083,11277.6,246.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d1,IGT1190,34.6126,37.271,10363.2,254.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d2,SNZ404,-16.7973,14.7336,2727.96,153.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d7,GEL1903,14.6102,49.7607,6705.6,201.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d8,GEL1602,13.3367,45.2128,10363.2,229.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140e4,GEL1703,2.0993,41.2928,-1.0,5.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514004,"",86.53,40.45,-304.8,74.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514005,"",40.2867,41.5792,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c6,IGT2831,25.2223,43.1233,9753.6,221.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c7,TGZ628,22.9444,45.5083,11277.6,246.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d1,IGT1190,34.6126,37.271,10363.2,254.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d2,SNZ404,-16.7973,14.7336,2727.96,153.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d7,GEL1903,14.6102,49.7607,6705.6,201.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140d8,GEL1602,13.3367,45.2128,10363.2,229.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140e4,GEL1703,2.0993,41.2928,-1.0,5.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514004,"",86.53,40.45,-304.8,74.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,514005,"",40.2867,41.5792,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,5140c6,IGT2831,25.2223,43.1233,9753.6,221.16
