batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,480c46,MMF64,-90.6459,47.6377,10363.2,264.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48406f,PHLAB,6.6496,52.1851,3108.96,116.03
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48411a,SHH921,-67.2119,18.4972,8534.4,221.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484129,SHH763,-59.7895,8.8319,11582.4,228.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484130,KLM1035,4.7804,52.2784,563.88,87.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484133,KLM1169,5.2162,60.3001,-1.0,6.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48415e,KLM37J,11.7805,48.3458,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484186,TRA2H,-0.7773,47.6731,11277.6,223.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48418c,KLM31C,22.9413,39.2019,11292.84,258.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4841c4,MPH6142,-1.8582,51.359,10668.0,263.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484369,KLM705,-17.6066,14.5507,9753.6,243.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484370,KLM430,4.7105,52.3465,-1.0,47.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4843f3,KLM596,5.514,40.5119,12192.0,231.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48440f,KLM671,-7.5675,56.058,10972.8,243.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484415,KLM661,-82.9585,48.4194,11582.4,247.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484416,KLM861,25.1875,44.9318,10058.4,245.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484442,KLM99V,8.5557,47.4566,-1.0,10.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4844a2,P4BVY,55.8427,23.5297,6766.56,207.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484557,KLM93B,4.1517,52.0767,6118.86,175.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484558,KLM67B,5.415,52.2361,5379.72,168.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484595,PHDKI,3.7151,51.5123,228.6,41.57
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,4845c0,HNL06A,4.7773,52.9205,160.02,20.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484a91,ZXP01,4.5031,51.9232,586.74,22.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484b2a,TRA83R,4.4678,51.9679,487.68,81.62
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484b32,KLM77H,19.5911,50.0506,1005.84,57.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484b6e,TRA27L,-4.4038,44.9342,11277.6,214.14
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484bd1,KLC1093,3.809,52.0006,8008.62,189.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484c1b,KLM57Y,4.6124,52.3799,4114.8,163.28
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484c51,KLM35U,4.7563,52.3152,-1.0,12.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484cc2,KLM87E,4.7634,52.3155,-1.0,13.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484ee4,KLM1960,27.2064,42.3806,9944.1,213.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484f6d,TRA17H,-1.544,42.9612,11894.82,227.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484f73,KLM129,3.2853,37.7898,11277.6,269.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484fdf,KLM88Y,4.7429,52.3202,-1.0,6.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,484fff,"",-69.6933,48.3047,10972.8,238.49
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,485061,TRA9M,0.616,45.6949,11277.6,224.55
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,485123,TRA22P,2.9017,50.6305,9342.12,239.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4851ad,KLM895,27.8761,44.0508,10668.0,259.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4851b0,KLM897,10.2977,51.5077,10660.38,249.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,485209,TRA23B,4.8184,51.9761,3726.18,144.18
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48520d,TRA37G,-2.5956,40.943,10980.42,244.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4852f6,KLC1059,4.6062,52.2167,3131.82,148.99
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,485345,KLM888,113.9534,22.8929,6454.14,216.75
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4853d1,TRA33Q,2.0827,41.2993,-1.0,11.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4853d3,TRA78T,0.9344,48.306,11582.4,237.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48548c,KLM89U,3.36,52.9372,8983.98,228.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,48548e,KLM29Z,2.2863,51.6654,10728.96,210.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4854c7,TRA8X,0.0267,45.1687,11887.2,230.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4854cf,TRA5864,10.6335,59.6374,8877.3,206.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4855d0,KLM1245,13.6629,57.305,9700.26,222.09
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4855d2,KLM32E,7.0407,52.1796,8679.18,198.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4856c9,KLM7910,0.7065,51.5763,251.46,46.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4856dd,PHVTK,5.7455,50.9165,701.04,81.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,485734,HHE62A,4.9658,53.0005,609.6,74.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,485788,KLM898,6.8074,52.2471,7414.26,237.05
