batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc549,ICE85V,-6.3493,46.9364,11582.4,225.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57b,ICE533,-17.8382,63.8601,11582.4,229.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57e,ICE48R,-20.3296,64.7127,5791.2,169.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc589,FNA77,-21.77,64.0203,1958.34,79.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc549,ICE85V,-6.3493,46.9364,11582.4,225.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57b,ICE533,-17.8382,63.8601,11582.4,229.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57e,ICE48R,-20.3296,64.7127,5791.2,169.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc589,FNA77,-21.77,64.0203,1958.34,79.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc549,ICE85V,-6.3493,46.9364,11582.4,225.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57b,ICE533,-17.8382,63.8601,11582.4,229.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57e,ICE48R,-20.3296,64.7127,5791.2,169.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc589,FNA77,-21.77,64.0203,1958.34,79.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc549,ICE85V,-6.3493,46.9364,11582.4,225.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57b,ICE533,-17.8382,63.8601,11582.4,229.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57e,ICE48R,-20.3296,64.7127,5791.2,169.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc589,FNA77,-21.77,64.0203,1958.34,79.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc549,ICE85V,-6.3493,46.9364,11582.4,225.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57b,ICE533,-17.8382,63.8601,11582.4,229.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57e,ICE48R,-20.3296,64.7127,5791.2,169.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc589,FNA77,-21.77,64.0203,1958.34,79.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc549,ICE85V,-6.3493,46.9364,11582.4,225.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57b,ICE533,-17.8382,63.8601,11582.4,229.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57e,ICE48R,-20.3296,64.7127,5791.2,169.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc589,FNA77,-21.77,64.0203,1958.34,79.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc549,ICE85V,-6.3493,46.9364,11582.4,225.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57b,ICE533,-17.8382,63.8601,11582.4,229.58
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57e,ICE48R,-20.3296,64.7127,5791.2,169.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc589,FNA77,-21.77,64.0203,1958.34,79.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc549,ICE85V,-6.3493,46.9364,11582.4,225.15
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc57e,ICE48R,-20.3296,64.7127,5791.2,169.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc589,FNA77,-21.77,64.0203,1958.34,79.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,4cc330,ICE7H,-21.4444,64.1428,1684.02,117.46
