batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac16e,HK4512,-74.2609,4.7949,3162.3,79.74
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,0ac175,NSE7733,-69.9432,-4.1974,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac333,ACL865,-74.9264,3.9267,10668.0,226.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac3b5,HK3544G,-74.038,4.9367,3078.48,45.2
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac3d8,HK5287G,-73.9952,5.0262,2918.46,50.73
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,0ac412,HK5298G,-74.0746,4.8148,2506.98,40.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac425,EFY7835,-74.3651,4.8739,3840.48,134.69
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0ac91e,PNC0482,-73.95,5.0838,3040.38,41.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9c2,AVA255,-79.1063,33.2716,10355.58,263.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9de,AVA256,-86.4751,20.0028,5318.76,187.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9f0,AVA260,-54.7293,-13.5986,10972.8,244.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca2f,KRE156,-73.2341,5.2561,8503.92,225.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca4b,EJC1125,-74.4349,4.6868,3840.48,106.59
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0aca5d,AVA8561,-81.2501,12.1779,6096.0,182.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca5f,AVA210,-77.6508,30.0993,11277.6,232.54
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0aca68,AVA9832,-74.1545,4.7113,-1.0,6.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca6b,HK4699,-73.9558,4.9565,3406.14,82.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb0d,NSE8719,-73.8773,5.1186,6088.38,150.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb2f,HK5431G,-74.0891,4.7971,2735.58,52.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb3f,HK2659,-70.138,-3.3879,0.0,52.0
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0acbb3,HK5019G,-74.0818,4.8165,2537.46,43.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac16e,HK4512,-74.2609,4.7949,3162.3,79.74
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,0ac175,NSE7733,-69.9432,-4.1974,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac333,ACL865,-74.9264,3.9267,10668.0,226.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac3b5,HK3544G,-74.038,4.9367,3078.48,45.2
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac3d8,HK5287G,-73.9952,5.0262,2918.46,50.73
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,0ac412,HK5298G,-74.0746,4.8148,2506.98,40.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac425,EFY7835,-74.3651,4.8739,3840.48,134.69
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0ac91e,PNC0482,-73.95,5.0838,3040.38,41.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9c2,AVA255,-79.1063,33.2716,10355.58,263.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9de,AVA256,-86.4751,20.0028,5318.76,187.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9f0,AVA260,-54.7293,-13.5986,10972.8,244.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca2f,KRE156,-73.2341,5.2561,8503.92,225.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca4b,EJC1125,-74.4349,4.6868,3840.48,106.59
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0aca5d,AVA8561,-81.2501,12.1779,6096.0,182.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca5f,AVA210,-77.6508,30.0993,11277.6,232.54
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0aca68,AVA9832,-74.1545,4.7113,-1.0,6.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca6b,HK4699,-73.9558,4.9565,3406.14,82.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb0d,NSE8719,-73.8773,5.1186,6088.38,150.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb2f,HK5431G,-74.0891,4.7971,2735.58,52.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb3f,HK2659,-70.138,-3.3879,0.0,52.0
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0acbb3,HK5019G,-74.0818,4.8165,2537.46,43.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac16e,HK4512,-74.2609,4.7949,3162.3,79.74
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,0ac175,NSE7733,-69.9432,-4.1974,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac333,ACL865,-74.9264,3.9267,10668.0,226.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac3b5,HK3544G,-74.038,4.9367,3078.48,45.2
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac3d8,HK5287G,-73.9952,5.0262,2918.46,50.73
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,0ac412,HK5298G,-74.0746,4.8148,2506.98,40.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac425,EFY7835,-74.3651,4.8739,3840.48,134.69
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0ac91e,PNC0482,-73.95,5.0838,3040.38,41.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9c2,AVA255,-79.1063,33.2716,10355.58,263.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9de,AVA256,-86.4751,20.0028,5318.76,187.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9f0,AVA260,-54.7293,-13.5986,10972.8,244.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca2f,KRE156,-73.2341,5.2561,8503.92,225.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca4b,EJC1125,-74.4349,4.6868,3840.48,106.59
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0aca5d,AVA8561,-81.2501,12.1779,6096.0,182.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca5f,AVA210,-77.6508,30.0993,11277.6,232.54
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0aca68,AVA9832,-74.1545,4.7113,-1.0,6.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca6b,HK4699,-73.9558,4.9565,3406.14,82.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb0d,NSE8719,-73.8773,5.1186,6088.38,150.24
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb2f,HK5431G,-74.0891,4.7971,2735.58,52.39
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0acb3f,HK2659,-70.138,-3.3879,0.0,52.0
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0acbb3,HK5019G,-74.0818,4.8165,2537.46,43.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac16e,HK4512,-74.2609,4.7949,3162.3,79.74
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,0ac175,NSE7733,-69.9432,-4.1974,-1.0,3.6
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac333,ACL865,-74.9264,3.9267,10668.0,226.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac3b5,HK3544G,-74.038,4.9367,3078.48,45.2
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac3d8,HK5287G,-73.9952,5.0262,2918.46,50.73
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,0ac412,HK5298G,-74.0746,4.8148,2506.98,40.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac425,EFY7835,-74.3651,4.8739,3840.48,134.69
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0ac91e,PNC0482,-73.95,5.0838,3040.38,41.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9c2,AVA255,-79.1063,33.2716,10355.58,263.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9de,AVA256,-86.4751,20.0028,5318.76,187.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0ac9f0,AVA260,-54.7293,-13.5986,10972.8,244.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca2f,KRE156,-73.2341,5.2561,8503.92,225.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0aca4b,EJC1125,-74.4349,4.6868,3840.48,106.59
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,0aca5d,AVA8561,-81.2501,12.1779,6096.0,182.63
