batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4158,TGFSD,-90.5304,14.5743,-1.0,0.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b420a,TGPJL,-90.5262,14.5815,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b422b,TGBEK,-90.1828,14.7989,1920.24,70.42
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4311,TGTJL,-99.5288,25.4812,2026.92,86.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b437d,TGKEI,-90.2801,14.6662,2133.6,51.95
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4070,TGSBO,-90.7126,14.3665,1615.44,86.69
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,0b4149,TGMIK,-90.5265,14.5814,-1.0,0.0
