batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,040248,ETH3303,37.0215,-1.0046,4930.14,161.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,040248,ETH3303,37.0215,-1.0046,4930.14,161.67
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04004b,ETH519,-81.8104,34.7138,9174.48,297.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040101,ETH673,125.2952,37.3428,7680.96,186.06
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04014e,ETH553,-79.634,43.6934,-1.0,0.0
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04019a,ETH639,103.9402,1.2607,548.64,71.94
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022a,ETH3600,94.3955,22.5984,12496.8,269.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,04022b,ETH3769,6.2639,48.8119,12496.8,252.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,040243,ETH501,-73.0632,39.2938,10302.24,299.16
